emoji,name,label
😀,grinning face,positive
😐,neutral face,neutral
😞,disappointed face,negative
😃,grinning face with big eyes,positive
😶,face without mouth,neutral
😔,pensive face,negative
😄,beaming face with smiling eyes,positive
😏,smirking face,neutral
😟,worried face,negative
😁,grinning squinting face,positive
😊,smiling face with smiling eyes,positive
😕,confused face,neutral
😢,crying face,negative
🤣,rolling on the floor laughing,positive
🙁,slightly frowning face,neutral
😠,angry face,negative
😇,smiling face with halo,positive
😬,grimacing face,neutral
😭,loudly crying face,negative
😆,grinning face with tightly closed eyes,positive
😘,face blowing a kiss,positive
😵,dizzy face,neutral
😑,expressionless face,neutral
🤢,nauseated face,negative
😨,fearful face,negative
🤧,sneezing face,neutral
🤫,shushing face,neutral
😜,winking face with tongue,positive
😒,unamused face,negative
😎,smiling face with sunglasses,positive
😈,smiling face with horns,neutral
👿,angry face with horns,negative
🤡,clown face,neutral
😤,face with steam from nose,negative
😩,weary face,negative
☠,skull and crossbones,negative
❤️,red heart,positive
💔,broken heart,negative
💕,two hearts,positive
💖,sparkling heart,positive
💗,growing heart,positive
💤,sleeping symbol,neutral
😲,astonished face,neutral
😱,face screaming in fear,negative
😚,kissing face with closed eyes,positive
😯,hushed face,neutral
😴,sleeping face,neutral
🤕,face with head-bandage,negative
😝,squinting face with tongue,positive
🤥,lying face,neutral
🤤,drooling face,neutral
🥱,yawning face,neutral
😖,confounded face,negative
😣,persevering face,negative
🙋,happy person raising one hand,positive
🙌,person raising both hands in celebration,positive
🙏,person with folded hands,neutral
😓,downcast face with sweat,negative
😧,anguished face,negative
😪,sleepy face,neutral
👋,waving hand,neutral
😅,grinning face with sweat,positive
😌,relieved face,positive
🤔,thinking face,neutral
🥴,woozy face,negative
😫,tired face,negative
😻,smiling cat face with heart-eyes,positive
😞,pouting face,negative
🤯,exploding head,negative
🤗,hugging face,positive
🤑,money-mouth face,neutral
🤒,face with thermometer,negative
🙄,face with rolling eyes,neutral
🤩,star-struck,positive
🥵,hot face,negative
🥶,cold face,negative
🤐,zipper-mouth face,neutral
🙃,upside-down face,neutral
😙,kissing face with smiling eyes,positive
😹,cat face with tears of joy,positive
👶,baby,neutral
👍,thumbs up,positive
👀,eyes,neutral
🙌,raising hands,positive
👏,clapping hands,positive
💪,flexed biceps,positive
🖖,vulcan salute,neutral
✋,raised hand,neutral
🤞,crossed fingers,neutral
